control_id,control_name,description,ai_act_article,ai_act_obligation,actor_role,risk_category,nist_ai_rmf,iso_42001,owasp_llm_top10,mitre_atlas,gdpr_article,dora_article,implementation_evidence,status,maturity_level,phase
AISEC-DG-005,Statistical Properties Documentation,"Document the statistical properties of datasets: characteristics, coverage, gaps, and limitations. Describe assumptions and known shortcomings.",Art. 10(2)(e),Mandatory,Provider,High-Risk,MAP 2.2; MEASURE 2.7,A.6,—,—,—,—,project/data_governance/dataset_card.md,planned,1,Phase 2
AISEC-DG-006,Personal Data Processing Safeguards,"When personal data is processed, implement appropriate safeguards including technical and organizational measures. Apply data minimization and purpose limitation principles.",Art. 10(5),Mandatory,Provider; Deployer,High-Risk,GOVERN 1.6,A.6,—,—,Art. 5(1); Art. 25; Art. 32,—,project/data_governance/pii_safeguards.py,planned,1,Phase 2
AISEC-TD-001,Technical Documentation - System Description,"Prepare and maintain up-to-date technical documentation with general system description: intended purpose, provider identity, version, hardware/software dependencies, interaction with other systems.",Art. 11(1); Annex IV §1,Mandatory,Provider,High-Risk,GOVERN 1.3; MAP 1.6,A.8; A.9,—,—,—,Art. 6(1),project/documentation/model_card_generator.py,planned,1,Phase 3
AISEC-TD-002,Technical Documentation - Design Specifications,"Document design specifications: general logic, algorithms, key design choices, classification choices, optimization targets, computational requirements.",Art. 11(1); Annex IV §2,Mandatory,Provider,High-Risk,MAP 1.5; MAP 1.6,A.8; A.9,—,AML.T0000,—,—,project/documentation/design_spec.md,planned,1,Phase 3
AISEC-TD-003,Technical Documentation - Monitoring and Performance,"Document monitoring, functioning, and control of the AI system including levels of accuracy, robustness, cybersecurity, and any known limitations.",Art. 11(1); Annex IV §3,Mandatory,Provider,High-Risk,MEASURE 2.5; MEASURE 2.6,A.7; A.9,—,—,—,—,project/documentation/performance_report.md,planned,2,Phase 4
AISEC-TD-004,Technical Documentation - Validation and Testing,"Document validation and testing procedures, metrics used, test logs, dates of tests, and test results. Include adversarial testing methodology.",Art. 11(1); Annex IV §4,Mandatory,Provider,High-Risk,MEASURE 2.5; MEASURE 2.6,A.7,LLM01:Prompt Injection,AML.T0015; AML.T0043; AML.T0044,—,—,project/documentation/test_report.md,planned,2,Phase 4
AISEC-TD-005,Technical Documentation - Changes Log,Maintain a record of all changes made to the system after initial conformity assessment. Include rationale for changes and impact assessment.,Art. 11(1); Annex IV §6,Mandatory,Provider,High-Risk,GOVERN 1.3,A.8; A.9,—,—,—,Art. 6(1),project/documentation/changelog.md,planned,1,Phase 3
AISEC-LG-001,Automatic Event Logging Capability,"Design system with automatic logging capability recording events relevant to identifying risks, substantial modifications, and post-market monitoring.",Art. 12(1),Mandatory,Provider,High-Risk,MEASURE 2.3; MANAGE 4.1,A.10,—,AML.T0048,—,Art. 6(1),project/logging/structured_logger.py,planned,1,Phase 3
AISEC-LG-002,Logging - Identification of Use Period,Logs must record the period of each use (start and end date/time) and the reference database used for input data checking.,Art. 12(2)(a);(b),Mandatory,Provider,High-Risk,MEASURE 2.3,A.10,—,—,—,—,project/logging/structured_logger.py,planned,1,Phase 3
AISEC-LG-003,Logging - Input Data Reference,"Logs must record the input data for which the search has led to a match, including reference database version.",Art. 12(2)(c),Mandatory,Provider,High-Risk,MEASURE 2.3,A.10,—,AML.T0015,Art. 30,—,project/logging/structured_logger.py,planned,1,Phase 3
AISEC-LG-004,Logging - Human Verification Results,"Logs must record identification of natural persons involved in verification of results, including person who verified and approved.",Art. 12(2)(d),Mandatory,Provider,High-Risk,MEASURE 2.3; GOVERN 1.4,A.10,—,—,—,—,project/logging/structured_logger.py,planned,1,Phase 3
AISEC-LG-005,Log Retention and Deployer Access,Deployers must retain logs automatically generated by the AI system for a period appropriate to the intended purpose (minimum 6 months unless otherwise specified by law).,Art. 19(1),Mandatory,Deployer,High-Risk,MANAGE 4.1,A.10,—,—,Art. 5(1)(e),Art. 6(1),project/logging/log_retention.py,planned,1,Phase 3
AISEC-TR-001,Transparency - Instructions for Use,"Provide deployers with concise, complete, and clear instructions for use covering: intended purpose, level of accuracy/robustness/cybersecurity, known risks, human oversight, expected lifetime, and maintenance.",Art. 13(1);(2); Annex IV §5,Mandatory,Provider,High-Risk,GOVERN 1.3; MAP 1.6,A.8; A.9,—,—,—,—,project/transparency/instructions_for_use.md,planned,1,Phase 3
AISEC-TR-002,Transparency - AI Interaction Disclosure,Providers must ensure that AI systems intended to directly interact with natural persons are designed so that persons are informed they are interacting with an AI system.,Art. 50(1),Mandatory,Provider; Deployer,Limited-Risk; High-Risk,GOVERN 1.3,A.8,—,—,Art. 13; Art. 14,—,project/transparency/ai_disclosure.py,planned,1,Phase 3
AISEC-TR-003,Transparency - Synthetic Content Marking,"Providers of AI systems generating synthetic audio, image, video, or text must ensure outputs are marked in machine-readable format and detectable as AI-generated.",Art. 50(2),Mandatory,Provider,Limited-Risk; High-Risk,GOVERN 1.3,A.8,LLM09:Misinformation,—,—,—,project/transparency/content_marking.py,planned,1,Phase 3
AISEC-TR-004,Transparency - Deep Fake Disclosure,"Deployers using AI to generate or manipulate image, audio, or video content constituting a deep fake must disclose that the content is artificially generated or manipulated.",Art. 50(4),Mandatory,Deployer,Limited-Risk; High-Risk,GOVERN 1.3,A.8,LLM09:Misinformation,—,Art. 13,—,project/transparency/deepfake_notice.py,planned,1,Phase 3
AISEC-TR-005,Transparency - Emotion Recognition / Biometric Categorization,Deployers of AI systems for emotion recognition or biometric categorization must inform natural persons exposed thereto. Implement GDPR consent where applicable.,Art. 50(3),Mandatory,Deployer,Limited-Risk; High-Risk,GOVERN 1.3; GOVERN 1.6,A.8,—,—,Art. 6; Art. 9; Art. 22,—,—,planned,1,Phase 3
AISEC-HO-001,Human Oversight - Design for Oversight,Design high-risk AI systems with appropriate human-machine interface tools allowing effective oversight by natural persons during use.,Art. 14(1);(2),Mandatory,Provider,High-Risk,GOVERN 1.4; MAP 1.4,A.5; A.11,LLM06:Excessive Agency,—,Art. 22,—,project/human_oversight/oversight_console/,planned,1,Phase 4
AISEC-HO-002,Human Oversight - Understanding Capabilities,"Human oversight must enable individuals to properly understand the relevant capacities and limitations of the AI system and monitor its operation. Include ability to detect anomalies, dysfunction, and unexpected performance.",Art. 14(4)(a);(b),Mandatory,Provider; Deployer,High-Risk,GOVERN 1.4; MEASURE 2.3,A.5; A.11,—,—,—,—,project/human_oversight/oversight_console/,planned,1,Phase 4
AISEC-HO-003,Human Oversight - Override and Intervention,"Enable human overseers to decide not to use the AI system output, to override the output, or to reverse it. Include a 'stop' button or similar procedure for safe interruption.",Art. 14(4)(d);(e),Mandatory,Provider; Deployer,High-Risk,GOVERN 1.4; MANAGE 2.4,A.5; A.11,LLM06:Excessive Agency,—,Art. 22,—,project/human_oversight/override_workflow.py,planned,2,Phase 4
AISEC-HO-004,Human Oversight - Automation Bias Awareness,"Implement measures to counter automation bias. Ensure that human overseers do not over-rely on AI system outputs, particularly for high-stakes decisions.",Art. 14(4)(b),Mandatory,Provider; Deployer,High-Risk,GOVERN 1.4,A.5; A.11,—,AML.T0048,—,—,project/human_oversight/bias_awareness.md,planned,1,Phase 4
AISEC-HO-005,Deployer Human Oversight Duty,"Deployers must assign human oversight to natural persons who have the necessary competence, training, and authority. Deployers must ensure overseers are aware of automation bias.",Art. 26(2),Mandatory,Deployer,High-Risk,GOVERN 1.4,A.5; A.11,—,—,—,—,project/human_oversight/deployer_procedures.md,planned,1,Phase 4
AISEC-AC-001,Accuracy Metrics and Thresholds,"Declare and document levels of accuracy, including accuracy metrics, for the AI system. Communicate these in the instructions for use.",Art. 15(1); Art. 13(3)(b)(i),Mandatory,Provider,High-Risk,MEASURE 2.5; MEASURE 2.6,A.7,—,—,—,—,project/robustness_security/accuracy_metrics.py,planned,2,Phase 4
AISEC-AC-002,Accuracy Testing and Validation,Validate accuracy against declared metrics using appropriate datasets. Report confidence intervals and disaggregated performance across relevant subgroups.,Art. 15(1); Art. 9(6),Mandatory,Provider,High-Risk,MEASURE 2.5; MEASURE 2.6; MEASURE 2.7,A.7,—,AML.T0043,Art. 22,—,project/robustness_security/accuracy_validation.py,planned,2,Phase 4
AISEC-RB-001,Robustness by Design,Design and develop high-risk AI systems to achieve an appropriate level of robustness. Implement technical redundancy solutions including backup or fail-safe plans.,Art. 15(3),Mandatory,Provider,High-Risk,MEASURE 2.6; MANAGE 2.3,A.7; A.12,—,AML.T0043; AML.T0044,—,Art. 11(1),project/robustness_security/robustness_tests.py,planned,2,Phase 4
AISEC-RB-002,Resilience Against Errors and Faults,"Ensure AI system is resilient regarding errors, faults, or inconsistencies that may occur within the system or in the environment. Implement graceful degradation.",Art. 15(3),Mandatory,Provider,High-Risk,MEASURE 2.6; MANAGE 2.3,A.7; A.12,LLM05:Improper Output Handling; LLM06:Excessive Agency,AML.T0043,—,Art. 11(1),project/robustness_security/fault_tolerance.py,planned,1,Phase 4
AISEC-RB-003,Adversarial Robustness Testing,"Test AI system against adversarial attacks relevant to the system type. Include evasion attacks, data poisoning, model extraction, and other ATLAS-mapped attack types.",Art. 15(4),Mandatory,Provider,High-Risk,MEASURE 2.6,A.7,LLM01:Prompt Injection; LLM06:Excessive Agency,AML.T0015; AML.T0020; AML.T0024; AML.T0043; AML.T0044,—,Art. 11(1),project/robustness_security/adversarial_tests.py,planned,3,Phase 4
AISEC-CS-001,Cybersecurity Measures,"Implement appropriate cybersecurity measures to protect AI system against unauthorized third-party attempts to alter use, behaviour, or performance, or exploit vulnerabilities.",Art. 15(5),Mandatory,Provider,High-Risk,MANAGE 2.3; MEASURE 2.6,A.12; A.13,LLM01:Prompt Injection; LLM05:Improper Output Handling; LLM06:Excessive Agency,AML.T0015; AML.T0024; AML.T0040; AML.T0042,—,Art. 5; Art. 6; Art. 11,project/robustness_security/security_controls.yaml,planned,2,Phase 4
AISEC-CS-002,Protection Against Data Poisoning,Implement controls to prevent and detect training data poisoning attempts. Monitor data pipeline integrity and validate data sources.,Art. 15(5)(a),Mandatory,Provider,High-Risk,MANAGE 2.3,A.12; A.13,LLM04:Data and Model Poisoning,AML.T0020,—,Art. 11(1),project/robustness_security/data_poisoning_defense.py,planned,2,Phase 4
AISEC-CS-003,Protection Against Adversarial Inputs,Implement controls to detect and mitigate adversarial examples and perturbations designed to cause model errors. Include input validation and sanitization.,Art. 15(5)(b),Mandatory,Provider,High-Risk,MANAGE 2.3; MEASURE 2.6,A.12; A.13,LLM01:Prompt Injection; LLM05:Improper Output Handling,AML.T0015; AML.T0043; AML.T0044,—,Art. 11(1),project/robustness_security/input_guard.py,planned,2,Phase 4
AISEC-CS-004,Protection Against Model Manipulation,"Implement controls against confidentiality attacks (model inversion, membership inference, model extraction). Apply differential privacy or other protective measures where appropriate.",Art. 15(5)(c),Mandatory,Provider,High-Risk,MANAGE 2.3,A.12; A.13,LLM02:Sensitive Information Disclosure,AML.T0024; AML.T0025; AML.T0040,—,Art. 11(1),project/robustness_security/model_protection.py,planned,2,Phase 4
AISEC-CS-005,Prompt Injection Defense,"Implement multi-layer defense against direct and indirect prompt injection attacks. Include input filtering, output validation, and context isolation. Test with automated red-teaming.",Art. 15(5); Art. 9(6),Mandatory,Provider,High-Risk,MANAGE 2.3; MEASURE 2.6,A.12; A.13,LLM01:Prompt Injection,AML.T0015; AML.T0051,—,—,project/robustness_security/prompt_injection_harness.py,planned,3,Phase 4
AISEC-CS-006,Supply Chain Security,"Assess and monitor security of third-party components, libraries, models, and data sources used in the AI system. Maintain an AI Bill of Materials (AIBOM).",Art. 15(5); Art. 9(2)(a),Mandatory,Provider,High-Risk,GOVERN 1.5; MAP 3.4,A.12; A.13,LLM03:Supply Chain,AML.T0042,—,Art. 28; Art. 30,project/robustness_security/ai_bom.json,planned,1,Phase 4
AISEC-PM-001,Post-Market Monitoring System,"Establish and document a post-market monitoring system to collect, document, and analyze relevant data for evaluating continuous compliance throughout the AI system lifetime.",Art. 72(1);(2),Mandatory,Provider,High-Risk,MANAGE 4.1; MANAGE 4.2,A.14,—,AML.T0048,—,Art. 6(1),project/post_market_monitoring/monitoring_plan.md,planned,1,Phase 5
AISEC-PM-002,Performance Drift Detection,"Implement automated monitoring for model performance degradation, data drift, concept drift, and distribution shift. Define thresholds and alert mechanisms.",Art. 72(3)(a);(b),Mandatory,Provider,High-Risk,MEASURE 2.3; MANAGE 4.1,A.14; A.7,—,AML.T0031; AML.T0048,—,—,project/post_market_monitoring/drift_detector.py,planned,2,Phase 5
AISEC-PM-003,Serious Incident Reporting,"Report any serious incident (death, serious damage to health, property, environment, fundamental rights, or serious disruption of critical infrastructure) to market surveillance authorities without delay, and no later than 15 days.",Art. 73(1);(2),Mandatory,Provider; Deployer,High-Risk,MANAGE 4.2,A.14,—,—,Art. 33; Art. 34,Art. 19,project/post_market_monitoring/incident_report_template.md,planned,1,Phase 5
AISEC-PM-004,Corrective Action Procedure,"When a high-risk AI system presents a risk or an incident has occurred, immediately take corrective actions including: withdrawal, recall, disabling, or informing deployers and relevant authorities.",Art. 20,Mandatory,Provider,High-Risk,MANAGE 2.4; MANAGE 4.2,A.14,—,—,—,Art. 17,project/post_market_monitoring/corrective_action_procedure.md,planned,1,Phase 5
AISEC-CA-001,Conformity Assessment Procedure,Complete the applicable conformity assessment procedure before placing on the market. For Annex III systems: internal control (Annex VI) or with involvement of notified body (Annex VII).,Art. 43,Mandatory,Provider,High-Risk,GOVERN 1.1; GOVERN 1.3,A.15,—,—,—,—,project/conformity_assessment/assessment_procedure.md,planned,1,Phase 5
AISEC-CA-002,EU Declaration of Conformity,Draw up a written or electronic EU declaration of conformity for each high-risk AI system. Keep declaration at disposal of national competent authorities for 10 years.,Art. 47; Annex V,Mandatory,Provider,High-Risk,GOVERN 1.3,A.15,—,—,—,—,project/conformity_assessment/declaration_of_conformity.md,planned,1,Phase 5
AISEC-CA-003,CE Marking,"Affix the CE marking visibly, legibly, and indelibly to the high-risk AI system or its data plate. Attach before placing on the market. Digital CE marking acceptable.",Art. 48,Mandatory,Provider,High-Risk,GOVERN 1.3,A.15,—,—,—,—,project/conformity_assessment/ce_marking_guide.md,planned,1,Phase 5
AISEC-CA-004,EU Database Registration,Register the high-risk AI system in the EU database (established under Art. 71) before placing on the market or putting into service.,Art. 49(1),Mandatory,Provider; Deployer,High-Risk,GOVERN 1.3,A.15,—,—,—,—,project/conformity_assessment/eu_registration_guide.md,planned,1,Phase 5
AISEC-CA-005,Quality Management System,"Establish a quality management system ensuring compliance with the AI Act. Must cover: regulatory strategy, design and development controls, quality control, resource management, record keeping, corrective actions, communication with authorities, and post-market monitoring.",Art. 17,Mandatory,Provider,High-Risk,GOVERN 1.1; GOVERN 1.2; GOVERN 1.3,4.1; 5.1; 6.1; 7.1; 8.1; 9.1; 10.1,—,—,—,Art. 6(1),project/conformity_assessment/qms_framework.md,planned,2,Phase 5
AISEC-DP-001,Deployer Risk Assessment,"Before putting into service, the deployer shall perform a fundamental rights impact assessment for high-risk AI systems used in certain areas (public services, creditworthiness, insurance, law enforcement, migration, justice, employment).",Art. 27,Mandatory,Deployer,High-Risk,GOVERN 1.7; MAP 5.1,A.3; A.4,—,—,Art. 35; Art. 36,—,project/risk_management/deployer_fria.md,planned,1,Phase 1
AISEC-DP-002,Deployer Due Diligence - Instructions for Use,Deployer must use the AI system in accordance with the instructions for use provided by the provider. Deployer must not use the system in a manner inconsistent with instructions.,Art. 26(1),Mandatory,Deployer,High-Risk,GOVERN 1.1; GOVERN 1.4,A.5,—,—,—,—,project/human_oversight/deployer_procedures.md,planned,1,Phase 4
AISEC-DP-003,Deployer Input Data Relevance,Deployer must ensure input data is relevant and sufficiently representative in view of the intended purpose. Deployer should not feed data that is outside the scope of the system's design.,Art. 26(4),Mandatory,Deployer,High-Risk,MAP 2.2; MEASURE 2.7,A.6,—,AML.T0020,Art. 5(1),—,project/data_governance/deployer_data_validation.py,planned,1,Phase 2
AISEC-DP-004,Deployer Monitoring Obligation,Deployer must monitor the operation of the AI system on the basis of the instructions for use and inform the provider or distributor when risks are identified. Deployer must suspend use when necessary.,Art. 26(5),Mandatory,Deployer,High-Risk,MANAGE 4.1; MANAGE 4.2,A.14,—,—,—,—,project/post_market_monitoring/deployer_monitoring.py,planned,1,Phase 5
AISEC-DP-005,Deployer Record Keeping,Deployer must keep the logs automatically generated by the AI system for a period appropriate to the intended purpose (minimum 6 months). Logs must be accessible for inspection.,Art. 26(6); Art. 19(1),Mandatory,Deployer,High-Risk,MANAGE 4.1,A.10,—,—,Art. 5(1)(e),Art. 6(1),project/logging/log_retention.py,planned,1,Phase 3
AISEC-GP-001,GPAI Model - Technical Documentation,Provider of GPAI model must draw up and keep up-to-date technical documentation of the model including training and testing processes and evaluation results.,Art. 53(1)(a); Annex XI,Mandatory,Provider,GPAI,GOVERN 1.3; MAP 1.6,A.8; A.9,—,—,—,—,project/documentation/gpai_model_card.md,planned,1,Phase 3
AISEC-GP-002,GPAI Model - Copyright Compliance,Provider must put in place a policy to comply with Union copyright law (Directive 2019/790). Provide sufficiently detailed summary of training data content using template.,Art. 53(1)(c);(d),Mandatory,Provider,GPAI,GOVERN 1.6,A.8,—,—,—,—,project/documentation/training_data_summary.md,planned,1,Phase 3
AISEC-GP-003,GPAI Model - Information to Downstream Providers,Provide sufficient information and documentation to downstream providers integrating the GPAI model to enable them to comply with their own obligations. Include capabilities and limitations.,Art. 53(1)(b),Mandatory,Provider,GPAI,MAP 1.6; GOVERN 1.5,A.8; A.9,—,—,—,—,project/documentation/downstream_provider_doc.md,planned,1,Phase 3
AISEC-GP-004,GPAI Systemic Risk - Safety and Security Framework,Provider of GPAI model with systemic risk must maintain a safety and security framework. Perform model evaluation including adversarial testing. Track and report serious incidents.,Art. 55(1),Mandatory,Provider,GPAI-Systemic,GOVERN 1.1; MEASURE 2.6; MANAGE 4.2,A.3; A.7; A.12,LLM01:Prompt Injection,AML.T0015; AML.T0043; AML.T0044; AML.T0051,—,—,project/robustness_security/gpai_safety_framework.md,planned,3,Phase 4
AISEC-GP-005,GPAI Systemic Risk - Cybersecurity Protection,Ensure adequate cybersecurity protection for the GPAI model and its physical infrastructure. Include protections against model weight exfiltration and unauthorized access.,Art. 55(1)(d),Mandatory,Provider,GPAI-Systemic,MANAGE 2.3,A.12; A.13,LLM02:Sensitive Information Disclosure,AML.T0024; AML.T0040; AML.T0042,—,Art. 5; Art. 6; Art. 11,project/robustness_security/gpai_cybersecurity.yaml,planned,2,Phase 4
AISEC-PH-001,Prohibited Practice - Social Scoring,"Do not place on the market, put into service, or use AI systems that evaluate or classify natural persons based on social behaviour or personality characteristics leading to detrimental or unfavourable treatment.",Art. 5(1)(c),Prohibited,Provider; Deployer,Prohibited,GOVERN 1.7,A.2,—,—,Art. 22,—,project/risk_management/prohibited_checks.py,planned,1,Phase 1
AISEC-PH-002,Prohibited Practice - Subliminal Manipulation,"Do not deploy AI techniques that deploy subliminal, manipulative, or deceptive techniques with the objective or effect of materially distorting behaviour causing significant harm.",Art. 5(1)(a),Prohibited,Provider; Deployer,Prohibited,GOVERN 1.7,A.2,—,—,—,—,project/risk_management/prohibited_checks.py,planned,1,Phase 1
AISEC-PH-003,Prohibited Practice - Exploitation of Vulnerabilities,"Do not deploy AI systems that exploit vulnerabilities of specific groups (age, disability, social/economic situation) to materially distort behaviour causing significant harm.",Art. 5(1)(b),Prohibited,Provider; Deployer,Prohibited,GOVERN 1.7,A.2,—,—,—,—,project/risk_management/prohibited_checks.py,planned,1,Phase 1
AISEC-PH-004,Prohibited Practice - Real-Time Remote Biometric Identification,"Do not use real-time remote biometric identification systems in publicly accessible spaces for law enforcement except for exhaustively listed exceptions (missing children, specific criminal threats, terrorism).",Art. 5(1)(h),Prohibited,Deployer,Prohibited,GOVERN 1.7,A.2,—,—,Art. 9; Art. 10,—,project/risk_management/prohibited_checks.py,planned,1,Phase 1
AISEC-PH-005,Prohibited Practice - Predictive Policing (Individual),Do not use AI systems to make risk assessments of natural persons to predict the occurrence or reoccurrence of a criminal offence based solely on profiling or personality traits.,Art. 5(1)(d),Prohibited,Provider; Deployer,Prohibited,GOVERN 1.7,A.2,—,—,Art. 22,—,project/risk_management/prohibited_checks.py,planned,1,Phase 1
AISEC-PH-006,Prohibited Practice - Untargeted Facial Image Scraping,Do not use AI systems that create or expand facial recognition databases through untargeted scraping of facial images from the internet or CCTV footage.,Art. 5(1)(e),Prohibited,Provider; Deployer,Prohibited,GOVERN 1.7,A.2,—,—,Art. 9; Art. 10,—,project/risk_management/prohibited_checks.py,planned,1,Phase 1
AISEC-PH-007,Prohibited Practice - Emotion Inference in Workplace/Education,"Do not use AI systems to infer emotions of natural persons in the areas of workplace and education institutions, except for medical or safety reasons.",Art. 5(1)(f),Prohibited,Provider; Deployer,Prohibited,GOVERN 1.7,A.2,—,—,Art. 9,—,project/risk_management/prohibited_checks.py,planned,1,Phase 1
AISEC-PH-008,Prohibited Practice - Non-Consensual Intimate Imagery (Nudifiers),"Do not place on the market, put into service, or use AI systems that generate or manipulate sexually explicit or intimate images, video, or audio of real persons without explicit consent, or that create child sexual abuse material (CSAM). Systems must include reasonable safeguards against such use. Added by AI Omnibus (7 May 2026), effective 2 December 2026.",Art. 5 (AI Omnibus),Prohibited,Provider; Deployer,Prohibited,GOVERN 1.7,A.2,—,—,Art. 9; Art. 10,—,project/risk_management/prohibited_checks.py,planned,1,Phase 1
AISEC-GV-001,AI Literacy,Providers and deployers must take measures to ensure sufficient AI literacy of their staff and other persons dealing with the operation and use of AI systems.,Art. 4,Mandatory,Provider; Deployer,All,GOVERN 1.4; GOVERN 2.1,A.16; 7.2; 7.3,—,—,—,—,project/documentation/ai_literacy_program.md,planned,1,Phase 3
AISEC-GV-002,Authorized Representative,Non-EU providers must appoint an authorized representative established in the Union by written mandate before making their AI systems available on the Union market.,Art. 22,Mandatory,Provider,High-Risk,GOVERN 1.1,A.15,—,—,—,—,project/conformity_assessment/authorized_rep_guide.md,planned,1,Phase 5
AISEC-GV-003,Cooperation with Competent Authorities,Providers and deployers must cooperate with national competent authorities. Provide requested information and access. Participate in regulatory sandboxes if requested.,Art. 21; Art. 26(8),Mandatory,Provider; Deployer,High-Risk,GOVERN 1.1; GOVERN 1.3,A.15,—,—,—,Art. 19,project/conformity_assessment/authority_cooperation.md,planned,1,Phase 5
AISEC-GV-004,DORA ICT Risk Management Alignment,"For AI systems used in financial services, align AI Act requirements with DORA ICT risk management framework. Ensure AI-specific risks are covered in ICT risk management strategy.",—,Recommended,Provider; Deployer,High-Risk,GOVERN 1.1; MANAGE 1.1,A.3; A.4; A.12,—,—,—,Art. 5; Art. 6; Art. 7; Art. 8; Art. 9; Art. 10; Art. 11,project/risk_management/dora_alignment.md,planned,1,Phase 1
AISEC-GV-005,DORA Third-Party Risk for AI Vendors,Conduct ICT third-party risk assessment for AI system vendors and GPAI model providers as required by DORA. Include AI-specific risks in vendor due diligence.,—,Recommended,Deployer,High-Risk,GOVERN 1.5; MAP 3.4,A.12; A.13,LLM03:Supply Chain,AML.T0042,—,Art. 28; Art. 29; Art. 30,project/risk_management/dora_vendor_assessment.md,planned,1,Phase 1
AISEC-GV-006,DORA Digital Operational Resilience Testing for AI,Include AI systems in scope of DORA digital operational resilience testing. Apply threat-led penetration testing (TLPT) where AI systems support critical functions.,—,Recommended,Provider; Deployer,High-Risk,MEASURE 2.6; MANAGE 2.3,A.7; A.12,LLM01:Prompt Injection,AML.T0015; AML.T0043; AML.T0044,—,Art. 24; Art. 25; Art. 26; Art. 27,project/robustness_security/dora_resilience_testing.md,planned,2,Phase 4
AISEC-GV-007,GDPR Data Protection Impact Assessment for AI,Conduct DPIA for AI systems processing personal data that are likely to result in high risk to rights and freedoms. Integrate AI-specific risks into existing DPIA methodology.,—,Recommended,Provider; Deployer,High-Risk,GOVERN 1.6; MAP 5.1,A.3; A.4,—,—,Art. 35; Art. 36,—,project/risk_management/gdpr_dpia_ai.md,planned,1,Phase 1
